logT,logN,CC,Accuracy
-5.0,0.0,0.0008243392799975567,0.5033351013529204
-5.0,0.10000000000000007,0.000615006247345428,0.5022680447335361
-5.0,0.2,0.00043642164650371676,0.5014663250537098
-5.0,0.30000000000000004,0.0002928883099480634,0.5008965633252189
-5.0,0.4,0.000184741875519387,0.5005154790979867
-5.0,0.5,0.00010878163653965553,0.5002769343108977
-5.0,0.6,5.935611154799826e-5,0.5001380571144939
-5.0,0.7000000000000001,2.97706587391035e-5,0.5000633775501702
-5.0,0.8000000000000002,1.3604501376505138e-5,0.5000265676485255
-5.0,0.9,5.609594660090359e-6,0.500010076128069
-5.0,1.0,2.064919556358713e-6,0.5000034224603039
-5.0,1.1,6.70669196799726e-7,0.5000010295035946
-5.0,1.2,1.8971904955784444e-7,0.5000002709048822
-5.0,1.3,4.609327301974643e-8,0.5000000615210585
-5.0,1.4,9.16243535049683e-9,0.5000000118788304
-5.0,1.5,1.5590454302640437e-9,0.5000000019183719
-5.0,1.6,2.1650922201042913e-10,0.500000000254469
-5.0,1.7,2.4049344754636087e-11,0.5000000000271767
-5.0,1.8,2.08995912654633e-12,0.5000000000022857
-5.0,1.9,1.3876426029207823e-13,0.5000000000001478
-5.0,2.0,6.772959704104333e-15,0.5000000000000071
-5.0,2.1,1.7153714018560647e-16,0.5000000000000002
-5.0,2.2,6.191874600623575e-18,0.5
-5.0,2.3,1.0320052121110435e-19,0.5
-5.0,2.4,1.118234752837413e-21,0.5
-5.0,2.5,7.528484581752877e-24,0.5
-5.0,2.6,2.9954996420697324e-26,0.5
-5.0,2.7,6.664931862448231e-29,0.5
-5.0,2.8,7.800780219794393e-32,0.5
-5.0,2.9,4.489058259332553e-35,0.5
-5.0,3.0,1.178746661208459e-38,0.5
-5.0,3.1,1.3004586470657061e-42,0.5
-5.0,3.2,5.50271762274097e-47,0.5
-5.0,3.3,8.074039420793288e-52,0.5
-5.0,3.4,3.6750419907482133e-57,0.5
-5.0,3.5,4.588056231530281e-63,0.5
-5.0,3.6,1.3712119688959688e-69,0.5
-5.0,3.7,8.440929352271648e-77,0.5
-5.0,3.8,9.063970623087803e-85,0.5
-5.0,3.9,1.4129673230718245e-93,0.5
-5.0,4.0,2.6102726381346075e-103,0.5
-5.0,4.1,4.5662968993578474e-114,0.5
-5.0,4.2,5.903452224231534e-126,0.5
-5.0,4.3,4.288722120820961e-139,0.5
-5.0,4.4,1.293398649085493e-153,0.5
-5.0,4.5,1.1587574459284499e-169,0.5
-5.0,4.6,2.1305765271396172e-187,0.5
-5.0,4.7,5.342486144155329e-207,0.5
-5.0,4.8,1.162948293679387e-228,0.5
-5.0,4.9,1.3339689891982294e-252,0.5
-5.0,5.0,4.6440370010910406e-279,0.5
-5.0,5.1,2.666902627244646e-308,0.5
-5.0,5.2,0,0.5
-5.0,5.3,0,0.5
-5.0,5.4,0,0.5
-5.0,5.5,0,0.5
-5.0,5.6,0,0.5
-5.0,5.7,0,0.5
-5.0,5.8,0,0.5
-5.0,5.9,0,0.5
-5.0,6.0,0,0.5
-5.0,6.1,0,0.5
-5.0,6.2,0,0.5
-5.0,6.3,0,0.5
-5.0,6.4,0,0.5
-5.0,6.5,0,0.5
-5.0,6.6,0,0.5
-5.0,6.7,0,0.5
-5.0,6.8,0,0.5
-5.0,6.9,0,0.5
-5.0,7.0,0,0.5
-5.0,7.1,0,0.5
-5.0,7.2,0,0.5
-5.0,7.3,0,0.5
-5.0,7.4,0,0.5
-5.0,7.5,0,0.5
-5.0,7.6,0,0.5
-5.0,7.7,0,0.5
-5.0,7.8,0,0.5
-5.0,7.9,0,0.5
-5.0,8.0,0,0.5
-5.0,8.1,0,0.5
-5.0,8.2,0,0.5
-5.0,8.3,0,0.5
-5.0,8.4,0,0.5
-5.0,8.5,0,0.5
-5.0,8.6,0,0.5
-5.0,8.7,0,0.5
-5.0,8.8,0,0.5
-5.0,8.9,0,0.5
-5.0,9.0,0,0.5
-5.0,9.1,0,0.5
-5.0,9.2,0,0.5
-5.0,9.3,0,0.5
-5.0,9.4,0,0.5
-5.0,9.5,0,0.5
-5.0,9.6,0,0.5
-5.0,9.7,0,0.5
-5.0,9.8,0,0.5
-5.0,9.9,0,0.5
-5.0,10.0,0,0.5
-4.95,0.0,0.0008663833980746666,0.5035042799897748
-4.95,0.10000000000000007,0.0006496590700730881,0.5023955894362324
-4.95,0.2,0.0004636289123979572,0.5015577608302461
-4.95,0.30000000000000004,0.00031311483607893587,0.5009585727351259
-4.95,0.4,0.00019888789786897575,0.500555034896166
-4.95,0.5,0.00011802437652767077,0.5003005199464368
-4.95,0.6,6.495574203343577e-5,0.5001511118999391
-4.95,0.7000000000000001,3.289080968620383e-5,0.5000700345096735
-4.95,0.8000000000000002,1.5189395075551909e-5,0.5000296688899188
-4.95,0.9,6.33641119142162e-6,0.5000113839723253
-4.95,1.0,2.362659586374322e-6,0.5000039167103185
-4.95,1.1,7.783592434206412e-7,0.5000011950345505
-4.95,1.2,2.236669113610921e-7,0.5000003194385364
-4.95,1.3,5.529577391853447e-8,0.5000000738122757
-4.95,1.4,1.1204223933708483e-8,0.5000000145279563
-4.95,1.5,1.9473201088981654e-9,0.5000000023964294
-4.95,1.6,2.7684084932866865e-10,0.5000000003254128
-4.95,1.7,3.1557166893226316e-11,0.5000000000356644
-4.95,1.8,2.82200225848569e-12,0.5000000000030866
-4.95,1.9,1.934564443720591e-13,0.500000000000206
-4.95,2.0,1.0009632412037673e-14,0.5000000000000103
-4.95,2.1,4.575307314627152e-16,0.5000000000000003
-4.95,2.2,9.692747666733105e-18,0.5
-4.95,2.3,1.6934622083366383e-19,0.5
-4.95,2.4,1.9330727431406476e-21,0.5
-4.95,2.5,1.3785531162546872e-23,0.5
-4.95,2.6,5.845414163632193e-26,0.5
-4.95,2.7,1.3953324243844398e-28,0.5
-4.95,2.8,1.765092486858747e-31,0.5
-4.95,2.9,1.1068311368973734e-34,0.5
-4.95,3.0,3.195698747227564e-38,0.5
-4.95,3.1,3.915580872944785e-42,0.5
-4.95,3.2,1.8604678117467985e-46,0.5
